序号,代码,简称,事件类型,具体事项,交易日
25,code.300157,新锦动力,对外担保,"近日,子公司雅江恒普与中国农业银行股份有限公司彭州市支行(以下简称“农业银行”)签署了《借款合同》,借款金额为700万元。同时,公司就上述事项与农业银行签署了《最高额保证合同》。",2025-06-17
26,code.300199,翰宇药业,对外担保,"为支持公司业务快速发展与战略布局,进一步拓展多元化融资渠道、优化融资结构,公司拟向渤海银行股份有限公司深圳分行申请综合授信5,000万元(敞口金额),授信产品包括流动资金贷款、商业汇票、国内信用证和银行承兑等。由全资子公司翰宇药业(武汉)有限公司(以下简称“翰宇武汉”)提供连带责任保证担保。",2025-06-17
27,code.300201,海伦哲,股份质押,"公司股东上海顶航慧恒企业咨询合伙企业(有限合伙)将持有的本公司股份400万股质押给嘉兴锋牌轮毂有限公司,质押起始日2025/06/13至办理解除质押手续止并于2025年06月13日办理质押登记手续。",2025-06-17
28,code.300201,海伦哲,股份质押,"公司股东上海顶航慧恒企业咨询合伙企业(有限合伙)将持有的本公司股份680万股质押给中帮冀商(上海)商务咨询合伙企业(有限合伙),质押起始日2025/06/13至办理解除质押手续止并于2025年06月13日办理质押登记手续。",2025-06-17
29,code.300261,雅本化学,对外担保,"为满足全资子公司南通雅本化学有限公司(以下简称“南通雅本”)项目建设需要,南通雅本拟向银行申请项目贷款,额度不超过人民币2,500万元,借款期限不超过36个月,主要用于支付项目建设费用及购买设备等用途。公司拟为南通雅本申请上述银行项目贷款提供担保,担保方式为连带责任保证担保,实际担保金额和期限仍需与相关银行进一步协商确定,相关担保事项以正式签署的担保协议为准。",2025-06-17
30,code.300292,吴通控股,资产重组,"吴通控股集团股份有限公司(以下简称“公司”、“吴通控股”)于2018年5月14日召开了第三届董事会第二十一次会议,会议以7票同意、0票反对、0票弃权的结果,审议通过了《关于放弃控股子公司苏州市吴通智能电子有限公司股权优先购买权的议案》。公司持有苏州市吴通智能电子有限公司(以下简称“吴通智能电子”)的80%股权,自然人股东都金浩持有另外20%的股权。都金浩拟将该等20%股权转让给吴通智能电子总经理裴忠辉,转让价格为人民币400.00万元。公司同意放弃在本次交易中同等条件下的优先购买权。本次放弃优先购买权后,公司对吴通智能电子的持股比例没有变化,仍为吴通智能电子的控股股东,本次交易不会对公司财务状况和经营成果产生重大影响。本次交易事项在公司董事会决策权限内,无需提交股东大会审议。公司独立董事对该事项发表了明确同意的独立意见。",2025-06-17
31,code.300370,安控科技,对外担保,"近日,公司全资子公司北京安控油气技术有限责任公司(以下简称“安控油气”)向北京农村商业银行股份有限公司天通苑支行(以下简称“农商银行”)申请人民币1,000万元银行贷款,期限18个月,公司为安控油气提供连带责任保证担保,与农商银行签订《保证合同》。",2025-06-17
32,code.300477,ST合纵,对外担保,"近日,公司拟与长沙农村商业银行股份有限公司芙蓉支行(以下简称“长沙农商银行”)签订《保证合同》,为湖南雅城与长沙农商银行形成的债务提供连带责任保证担保,担保的债权不超过人民币9,000万元(大写:玖仟万元整)。",2025-06-17
33,code.300517,海波重科,股份质押,"公司股东张海波将持有的本公司股份1050万股质押给中国银河证券股份有限公司,质押起始日2025/06/13至质押到期日2027/06/11并于2025年06月13日办理质押登记手续。",2025-06-17
34,code.300676,华大基因,股份质押,"公司股东深圳华大基因科技有限公司将持有的本公司股份760万股质押给招商银行股份有限公司深圳分行,质押起始日2025/06/16至办理解除质押登记手续之日止并于2025年06月16日办理质押登记手续。",2025-06-17
35,code.300712,永福股份,对外担保,"近日,公司控股子公司四川云能因生产经营需要,向成都银行股份有限公司武侯支行(以下简称“成都银行”)申请融资。公司与成都银行签订了编号为D170130250617832的《保证合同》,公司同意为控股子公司四川云能提供连带责任保证担保,上述合同项下保证担保的本金限额为人民币伍佰万元整,公司承担保证责任的保证期间为自主合同项下债务履行期限届满之日起三年。",2025-06-17
36,code.300753,爱朋医疗,股份质押,"公司股东王凝宇将持有的本公司股份273万股质押给东吴证券股份有限公司,质押起始日2025/06/13,质押到期日2026/06/12并于2025年06月13日办理质押登记手续。",2025-06-17
37,code.300835,龙磁科技,资产重组,"为推进上海市金山区吕巷镇集建区外现状建设用地的减量化工作,进一步优化村镇规划布局,提升农村集体土地的综合利用效率,公司下属全资子公司上海龙磁电子科技有限公司所在地块部分被纳入土地减量化范围,上海吕建城镇建设发展有限公司受上海市金山区吕巷镇人民政府委托,对上海龙磁电子实施减量化工作。经友好协商,目前已就搬迁补偿事宜基本达成一致,上海龙磁电子拟与实施单位签订《吕巷镇“198”地块非居住房屋拆除及设备搬迁补偿协议》。根据补偿协议,上海龙磁电子预计可获得补偿款人民币32,598,214元。",2025-06-17
38,code.300956,英力股份,对外担保,"近日,公司与宁波银行股份有限公司苏州分行签署了《最高额保证合同》,为公司全资子公司真准电子(昆山)有限公司(以下简称“昆山真准”)与该银行签订的主合同项下债务的履行提供连带责任保证担保,最高担保金额为人民币5,000万元。",2025-06-17
39,code.301116,益客食品,对外担保,"2025年6月17日,为满足徐州润客的业务发展需要,公司与江苏银行股份有限公司徐州分行(以下简称“江苏银行”)签订《最高额连带责任保证书》约定公司为徐州润客向江苏银行申请的最高债权本金人民币4,000万元以及本金对应利息、费用等全部债权之和提供担保。",2025-06-17
40,code.301162,国能日新,资产重组,"国能日新科技股份有限公司基于公司发展战略规划,拟通过受让老股及现金增资的方式增加对参股公司天津驭能能源科技有限公司的投资,本次投资金额共计870万元,资金来源均为公司自有资金。其中,公司拟以150万元受让袁彩萍所持有的天津驭能能源科技有限公司5%的股权;此外,公司拟以720万元向天津驭能能源科技有限公司进行现金增资,对应新增持有天津驭能能源科技有限公司7.42%的股权。本次交易完成后,公司持有天津驭能能源科技有限公司的股权将由19.33%增加至31.75%。",2025-06-17
41,code.301162,国能日新,股份质押,"公司股东雍正将持有的本公司股份210万股质押给浙江轻工联典当有限责任公司,质押起始日2025/06/16至办理解除质押手续之日并于2025年06月16日办理质押登记手续。",2025-06-17
42,code.301213,观想科技,资产重组,"为进一步推动公司核心技术在民用业务领域实现稳步拓展与应用,优化优势资源配置,助力公司实现高质量稳定发展。四川观想科技股份有限公司拟通过全资子公司四川盛世融合科技有限公司与四川观想发展科技合伙企业(有限合伙)共同投资设立四川盛世融创科技有限公司(拟定名,最终以市场监督管理部门核准登记为准),其中,盛世融合出资51万元认购51%的股权;观想发展出资49万元认购49%的股权;资金来源为自有资金或自筹资金。本次对外投资事项目前处于筹备阶段,尚未正式签署《股东协议》。",2025-06-17
43,code.301326,捷邦科技,对外担保,"近日,公司与中国建设银行股份有限公司东莞市分行签订了《最高额保证合同》,同意公司为控股子公司东莞赛诺高德蚀刻科技有限公司提供不超过人民币36,000,000.00元的连带责任保证。",2025-06-17
44,code.301326,捷邦科技,对外担保,"捷邦精密科技股份有限公司(以下简称“公司”)控股孙公司宜宾瑞泰新材料科技有限公司(以下简称“宜宾瑞泰”)因经营发展需要,拟向上海浦东发展银行股份有限公司东莞分行申请综合授信,并由公司控股子公司东莞瑞泰新材料科技有限公司(以下简称“瑞泰新材”)提供不超过人民币200,000,000.00元的连带责任保证。近日,瑞泰新材已与上海浦东发展银行股份有限公司东莞分行就前述担保事项签署了《最高额保证合同》。",2025-06-17
